obs_id;lat_wgs84;lon_wgs84;obs_date;obs_time;obs_time_zone;site_id;site_name;site_country;upstream_basin_area;upstream_basin_area_unit;drainage_region_name;param_code;source_param_code;param_name;source_param_name;obs_value;source_obs_value;detection_limit_flag;param_form;source_param_form;unit;source_unit;filtration;source;obs_percentile;obs_iqr_outlier;site_ts_availability;site_ts_continuity;WATERBASE_meta_procedureAnalysedMatrix;WATERBASE_meta_Remarks
1aa8ce93b885e84e8e19a576869cb1d657bd55d07db08343cebb9894e9cbc55c;61.46328;23.43765;2013-06-18;00:00:00;;FISW_1061;NOKIANVIRTA;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.5;1.5;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.28036512667660207;no;0.5;0.2;W;
42b137801d7fa76dd3584701692114a3c06a99a755dd4df875dcbc7dc8e77cc2;61.46328;23.43765;2013-10-13;00:00:00;;FISW_1061;NOKIANVIRTA;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.5;1.5;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.28036512667660207;no;0.5;0.2;W;
89f44c73fa37195de895f11c33ac68954a6de0cbd2426e3a3973952b567c7cc7;61.46328;23.43765;2013-10-22;00:00:00;;FISW_1061;NOKIANVIRTA;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.5;1.5;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.28036512667660207;no;0.5;0.2;W;
90f1aec2bb51b816a695d22df0197163256ec6fe1967253c98e067594a46bd15;62.14084;30.49866;2018-02-28;00:00:00;;FISW_1221;TOHMAJOKI 34;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
82b19516627aa27d26085c8c67eed9481c22578b5116244a52e879c11e3c9bdc;62.14084;30.49866;2018-05-17;00:00:00;;FISW_1221;TOHMAJOKI 34;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
73441194a6769ebdbae8d2c6f3aad333bb80f749eba521d6e1f85098017378eb;62.14084;30.49866;2018-08-14;00:00:00;;FISW_1221;TOHMAJOKI 34;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
7654fb27d5dae6c17d1cfe407d18313268455ee5236a38a7b8103706525a12ba;62.14084;30.49866;2018-10-29;00:00:00;;FISW_1221;TOHMAJOKI 34;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
1eb8ce538a5bfe2d9bfceade4bb329a94f1786a7e92cd32509b8f21137223996;61.99327;30.29953;2018-02-28;00:00:00;;FISW_1222;KITEENJOKI 29;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
fee57d833630358969fa805c4994a414df9d329a44fa56b58c14762d9c8ad35c;61.99327;30.29953;2018-05-17;00:00:00;;FISW_1222;KITEENJOKI 29;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
884e7078e9be33f228a47554efabbf561672543b8ba9d71166a7cfc710b87afc;61.99327;30.29953;2018-08-14;00:00:00;;FISW_1222;KITEENJOKI 29;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.5;0.11;W;
