GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
LSO00001;2022-04-20;14:58;0.0;Alk-Tot;0;;78.0;mg/l;Suspect;
LSO00001;2022-02-22;12:58;0.0;Alk-Tot;0;;85.0;mg/l;Suspect;
LSO00001;2021-12-14;12:42;0.0;Alk-Tot;0;;140.0;mg/l;Suspect;
LSO00001;2022-01-25;12:57;0.0;Alk-Tot;0;;82.0;mg/l;Suspect;
LSO00001;2022-03-31;15:46;0.0;Alk-Tot;0;;80.0;mg/l;Suspect;
LSO00001;2022-05-10;13:13;0.0;Alk-Tot;0;;80.0;mg/l;Suspect;
LSO00001;1999-07-20;15:08;0.0;Alk-Tot;0;;102.5;mg/l;Fair;
LSO00001;1998-11-10;07:35;0.0;Alk-Tot;0;;93.0;mg/l;Fair;
LSO00001;1998-05-12;09:25;0.0;Alk-Tot;0;;118.4;mg/l;Fair;
LSO00001;1997-11-20;12:30;0.0;Alk-Tot;0;;92.8;mg/l;Fair;
LSO00001;1997-05-27;08:50;0.0;Alk-Tot;0;;86.4;mg/l;Fair;
LSO00001;1996-11-21;15:30;0.0;Alk-Tot;0;;56.3;mg/l;Fair;
LSO00001;1996-05-29;09:52;0.0;Alk-Tot;0;;85.3;mg/l;Fair;
LSO00001;1995-01-25;08:00;0.0;Alk-Tot;0;;71.4;mg/l;Fair;
LSO00001;1991-01-30;14:30;0.0;Alk-Tot;0;;19.2;mg/l;Fair;
LSO00001;1989-01-17;16:10;0.0;Alk-Tot;0;;37.6;mg/l;Fair;
LSO00001;1988-07-20;09:00;0.0;Alk-Tot;0;;64.8;mg/l;Fair;
LSO00001;1988-03-02;07:15;0.0;Alk-Tot;0;;34.5;mg/l;Fair;
LSO00001;1988-02-24;05:40;0.0;Alk-Tot;0;;16.3;mg/l;Fair;
LSO00001;1987-10-13;13:00;0.0;Alk-Tot;0;;24.3;mg/l;Fair;
LSO00001;1988-03-01;15:40;0.0;Alk-Tot;0;;24.5;mg/l;Fair;
LSO00001;1988-05-19;10:15;0.0;Alk-Tot;0;;78.3;mg/l;Fair;
LSO00001;1988-11-29;14:00;0.0;Alk-Tot;0;;38.5;mg/l;Fair;
LSO00001;1990-01-24;07:00;0.0;Alk-Tot;0;;60.1;mg/l;Fair;
LSO00001;1992-02-19;16:40;0.0;Alk-Tot;0;;61.4;mg/l;Fair;
LSO00001;1995-08-30;09:10;0.0;Alk-Tot;0;;102.7;mg/l;Fair;
LSO00001;1996-08-28;08:25;0.0;Alk-Tot;0;;43.3;mg/l;Fair;
LSO00001;1997-02-13;17:39;0.0;Alk-Tot;0;;76.9;mg/l;Fair;
LSO00001;1997-09-02;16:20;0.0;Alk-Tot;0;;57.7;mg/l;Fair;
LSO00001;1998-01-27;11:00;0.0;Alk-Tot;0;;102.5;mg/l;Fair;
LSO00001;1998-08-12;10:52;0.0;Alk-Tot;0;;124.2;mg/l;Fair;
LSO00001;1999-01-26;17:26;0.0;Alk-Tot;0;;74.4;mg/l;Fair;
LSO00001;2009-11-09;11:10;0.0;Alk-Tot;0;;76.535;mg/l;Fair;
LSO00001;2009-08-19;10:55;0.0;Alk-Tot;0;;77.028;mg/l;Fair;
LSO00001;2009-01-28;11:00;0.0;Alk-Tot;0;;78.221;mg/l;Fair;
LSO00001;2008-08-06;14:30;0.0;Alk-Tot;0;;79.995;mg/l;Fair;
LSO00001;2007-10-17;14:47;0.0;Alk-Tot;0;;49.467;mg/l;Fair;
LSO00001;2005-03-11;12:10;0.0;Alk-Tot;0;;63.703;mg/l;Fair;
LSO00001;2003-05-13;12:03;0.0;Alk-Tot;0;;94.769;mg/l;Fair;
LSO00001;2002-01-09;12:52;0.0;Alk-Tot;0;;72.544;mg/l;Fair;
LSO00001;2001-07-19;11:20;0.0;Alk-Tot;0;;87.908;mg/l;Fair;
LSO00001;2000-07-11;12:20;0.0;Alk-Tot;0;;60.38;mg/l;Fair;
LSO00001;1999-10-27;13:00;0.0;Alk-Tot;0;;93.257;mg/l;Fair;
LSO00001;2000-01-19;12:00;0.0;Alk-Tot;0;;53.606;mg/l;Fair;
LSO00001;2001-04-11;10:07;0.0;Alk-Tot;0;;75.429;mg/l;Fair;
LSO00001;2001-10-17;11:37;0.0;Alk-Tot;0;;82.691;mg/l;Fair;
LSO00001;2002-10-02;10:30;0.0;Alk-Tot;0;;76.132;mg/l;Fair;
LSO00001;2004-02-25;09:00;0.0;Alk-Tot;0;;54.097;mg/l;Fair;
LSO00001;2006-01-25;11:08;0.0;Alk-Tot;0;;70.841;mg/l;Fair;
LSO00001;2008-06-04;14:10;0.0;Alk-Tot;0;;73.879;mg/l;Fair;
LSO00001;2008-09-17;09:00;0.0;Alk-Tot;0;;106.327;mg/l;Fair;
LSO00001;2009-07-01;11:20;0.0;Alk-Tot;0;;82.677;mg/l;Fair;
LSO00001;2009-10-14;12:00;0.0;Alk-Tot;0;;43.769;mg/l;Fair;
LSO00001;2010-01-21;10:00;0.0;Alk-Tot;0;;90.346;mg/l;Fair;
